,province_state,fips,last_update,total_covid_cases,total_covid_deaths,case_fatality_ratio,total_test_results,sum_facemask_enforced,sum_facemask_citation_fine,sum_shelter_in_place,sum_quarantine_travellers,population_2018,population_density_sqmiles,covid_total_on_4_12_2020,winning_part_2020_presidential_election,Column_Name,Description
0,Alabama,1,5/25/2020,8584,342,,,0,0,6,0,4887871,93,3667,Republican,Province_State , The name of the State within the USA.
1,Alaska,2,5/25/2020,70,1,,,28,28,0,31,737438,1,272,Republican,fips,Code for US State
2,Arizona,4,5/25/2020,10332,535,,,0,0,22,18,7171646,62,3542,Democrat,Last_Update , The most recent date the file was pushed.
3,Arkansas,5,5/25/2020,3112,69,,,0,0,0,21,3013825,56,1280,Republican,"total_covid_cases	",Sum of all covid cases in the state. 
4,California,6,5/25/2020,52966,2133,,,0,0,31,0,39557045,241,22805,Democrat,"total_covid_deaths	",Sum of all covid deaths in the state. 
5,Colorado,8,5/25/2020,11918,658,,,0,0,3,0,5695564,54,7307,Democrat,"case_fatality_ratio	", Number recorded deaths * 100/ Number confirmed cases.
6,Connecticut,9,5/25/2020,16532,1926,,,31,0,0,0,3572665,644,12035,Democrat,total_test_results,Total of num of Test Results. 
7,Delaware,10,5/25/2020,5367,300,,,28,28,31,31,967171,388,1625,Democrat,"sum_facemask_enforced	",Num of days face mask mandate was active 
8,District of Columbia,11,5/25/2020,4582,279,,,31,31,31,0,702455,11496,1875,Democrat,"sum_facemask_citation_fine	",Num of days face mask mandate was enforced with citation or fine. 
9,Florida,12,5/25/2020,20334,1191,,,0,0,24,31,21299325,323,19895,Republican,"sum_holidays	",Num of holidays
10,Georgia,13,5/25/2020,20411,928,,,0,0,7,0,10519475,177,12452,Democrat,"sum_holiday_face_mask_citation_fine	",Num of holidays when face mask mandate was enforced with citation or fine. 
11,Hawaii,15,5/25/2020,42,4,,,0,0,31,31,1420491,129,499,Democrat,"sum_quarantine_travellers	",Num of days when quarantine was active for travellers
12,Idaho,16,5/25/2020,756,25,,,0,0,7,22,1754208,20,1407,Republican,"sum_shelter_in_place	",Num of days when shelter in place order was active. 
13,Illinois,17,5/25/2020,70646,3061,,,25,25,31,0,12741080,220,20852,Democrat,"population_2018 population_density_sqmiles	",Population density.
14,Indiana,18,5/25/2020,17695,1059,,,0,0,24,0,6691878,183,7928,Republican,"covid_total_on_4_12_2020	",Total num of covid cases on 4/12/2020 (start of our dataset)
15,Iowa,19,5/25/2020,12806,349,,,0,0,0,0,3156145,56,1587,Republican,winning_part_2020_presidential_election,Political party of presential candidate that won the state. 
16,Kansas,20,5/25/2020,6045,87,,,0,0,10,31,2911505,35,1344,Republican,,
17,Kentucky,21,5/25/2020,4792,191,,,15,0,0,12,4468402,110,1963,Republican,,
18,Louisiana,22,5/25/2020,11029,1031,,,0,0,21,0,4659978,88,20595,Republican,,
19,Maine,23,5/25/2020,1090,31,,,25,25,31,31,1338404,37,633,Republican,,
20,Maryland,24,5/25/2020,29697,1479,,,31,31,21,0,6042718,487,8225,Democrat,,
21,Massachusetts,25,5/25/2020,41706,3816,,,20,20,24,31,6902149,653,25475,Democrat,,
22,Michigan,26,5/25/2020,18038,2143,,,29,29,31,0,9995915,103,24244,Democrat,,
23,Minnesota,27,5/25/2020,17388,657,,,0,0,24,0,5611179,64,1621,Democrat,,
24,Mississippi,28,5/25/2020,7826,416,,,0,0,3,0,2986530,61,2781,Republican,,
25,Missouri,29,5/25/2020,5288,420,,,0,0,10,0,6126452,87,4352,Republican,,
26,Montana,30,5/25/2020,35,2,,,0,0,2,31,1062305,7,387,Republican,,
27,Nebraska,31,5/25/2020,9710,97,,,0,0,0,0,1929268,24,791,Republican,,
28,Nevada,32,5/25/2020,3483,183,,,0,0,15,0,3034392,27,2836,Democrat,,
29,New Hampshire,33,5/25/2020,2429,156,,,0,0,31,0,1356458,145,929,Democrat,,
30,New Jersey,34,5/25/2020,52206,5455,,,31,31,31,0,8908520,1021,61850,Democrat,,
31,New Mexico,35,5/25/2020,4422,233,,,11,0,31,0,2095428,17,1245,Democrat,,
32,New York,36,5/25/2020,89925,7730,,,31,31,31,0,19542209,358,189033,Democrat,,
33,North Carolina,37,5/25/2020,15075,490,,,0,0,28,0,10383620,192,4570,Democrat,,
34,North Dakota,38,5/25/2020,1670,38,,,0,0,0,31,760077,10,308,Republican,,
35,Ohio,39,5/25/2020,16742,1125,,,0,0,26,0,11689442,260,6604,Republican,,
36,Oklahoma,40,5/25/2020,2916,123,,,0,0,0,18,3943079,56,1970,Republican,,
37,Oregon,41,5/25/2020,1750,62,,,0,0,31,0,4190713,42,1527,Democrat,,
38,Pennsylvania,42,5/25/2020,31355,3389,,,0,0,31,0,12807060,278,22938,Democrat,,
39,Rhode Island,44,5/25/2020,7366,495,,,31,0,15,31,1057315,684,2665,Democrat,,
40,South Carolina,45,5/25/2020,5026,278,,,0,0,10,10,5084127,158,3320,Republican,,
41,South Dakota,46,5/25/2020,2523,40,,,0,0,0,0,882235,11,730,Republican,,
42,Tennessee,47,5/25/2020,11383,167,,,0,0,5,0,6770010,160,5508,Republican,,
43,Texas,48,5/25/2020,32189,935,,,0,0,0,31,28701845,106,13780,Republican,,
44,Utah,49,5/25/2020,4610,58,,,7,0,0,7,3161105,37,2303,Republican,,
45,Vermont,50,5/25/2020,129,10,,,0,0,21,31,626299,65,727,Democrat,,
46,Virginia,51,5/25/2020,24650,760,,,0,0,31,0,8517685,199,5274,Democrat,,
47,Washington,53,5/25/2020,6851,322,,,0,0,31,0,7535591,105,10609,Democrat,,
48,West Virginia,54,5/25/2020,749,40,,,0,0,11,27,1805832,74,593,Republican,,
49,Wisconsin,55,5/25/2020,9921,247,,,0,0,19,0,5813568,88,3341,Democrat,,
50,Wyoming,56,5/25/2020,365,5,,,0,0,0,14,577737,5,270,Republican,,
